Column1,운용사,상품명,기간별수익률(1개월),기간별수익률(3개월),기간별수익률(6개월),기간별수익률(1년),기간별수익률(2년),기간별수익률(3년),위험등급,참고지수,위험등급(num),군집,지수1,비중1,지수2,비중2,매핑지수,지수수익률,티커,지수_연환산수익률,지수_연환산변동성
85,키움투자자산운용,키움키워드림TDF2045증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),2.64,-2.14,-0.92,6.17,25.13,21.35,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
86,한국투자신탁운용,한국투자크레딧포커스ESG증권자투자신탁1(채권)(C-R),0.33,1.41,2.7277,6.1552,13.51,17.629,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
87,미래에셋자산운용,미래에셋전략배분TDF2045혼합자산자투자신탁종류C-P2e,3.23,-2.02,0.66,6.14,25.7,26.84,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
88,미래에셋자산운용,미래에셋전략배분TDF2050혼합자산자투자신탁종류C-P2,3.32,-2.11,0.66,6.14,25.87,26.71,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
89,한화자산운용,한화LIFEPLUSTDF2025증권자투자신탁(혼합-재간접형)종류C-RPE(퇴직연금),0.48,-0.93,0.97,6.07,16.88,16.53,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
90,미래에셋자산운용,미래에셋퇴직플랜아시아퍼시픽40증권자투자신탁1(채권혼합)종류C-P2,0.35,-0.75,2.24,6.07,15.21,19.49,보통위험,MSCI AC ASIA PACIFIC ex JAPAN CR 40% + 국공채01Y 60%,2,1,MSCI AC ASIA PACIFIC ex JAPAN CR,0.4,국공채01Y,0.6,VPL,0.48785056,VPL,0.4541359293175943,0.3568356239492601
91,신한자산운용,신한마음편한TDF2030증권투자신탁[주식혼합-재간접형](종류C-re),1.46,-1.15,-0.03,6.03,20.48,20.81,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
92,키움투자자산운용,키움키워드림TDF2030증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),1.23,-1.86,-0.53,6.03,19.8,16.44,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
93,미래에셋자산운용,미래에셋전략배분TDF2040혼합자산자투자신탁종류C-P2e,3.06,-2.07,0.64,6.01,25.06,26.07,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
94,키움투자자산운용,키움키워드림TDF2035증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),1.75,-2.08,-0.83,5.98,22.49,19.64,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
95,키움투자자산운용,키움키워드림TDF2040증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),2.27,-2.17,-0.91,5.97,24.53,22,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
96,삼성자산운용,삼성퇴직연금코리아대표40증권자투자신탁1[채권혼합]_Ce,2.34,2.54,6.07,5.94,12.4,12.04,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
97,한화자산운용,한화LIFEPLUSTDF2025증권자투자신탁(혼합-재간접형)C-RP(퇴직연금),0.47,-0.98,0.87,5.87,16.44,15.87,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
98,미래에셋자산운용,미래에셋연금인디아업종대표증권자투자신탁1(주식)종류C-P2e,-2.32,7.73,-3.36,5.84,44.62,64.64,높은위험,MSCI INDIA,3,2,MSCI INDIA,1.0,,,INDA,1.024661599,INDA,0.575842299670613,0.34939388323416426
99,신한자산운용,신한마음편한TDF2030증권투자신탁[주식혼합-재간접형]종류C-r,1.44,-1.2,-0.13,5.83,20.01,20.11,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
100,키움투자자산운용,키움키워드림TDF2045증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),2.62,-2.22,-1.07,5.82,24.29,20.11,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
101,미래에셋자산운용,미래에셋전략배분TDF2045혼합자산자투자신탁종류C-P2,3.21,-2.1,0.51,5.81,24.93,25.68,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
102,키움투자자산운용,키움키워드림TDF2030증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),1.22,-1.91,-0.63,5.81,19.31,15.72,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
103,얼라이언스번스틴 자산운용,AB미국그로스증권투자신탁(주식-재간접형)종류형C-P2,8.07,-0.67,-1.08,5.81,38.26,50.34,높은위험,S&P 500,3,2,S&P 500,1.0,,,^GSPC,0.981176822,^GSPC,0.6512622869858475,0.38992787784247024
104,키움투자자산운용,키움키워드림TDF2050증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),2.79,-2.24,-1.1,5.74,24.73,21.42,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
105,미래에셋자산운용,미래에셋전략배분TDF2040혼합자산자투자신탁종류C-P2,3.04,-2.14,0.51,5.74,24.42,25.1,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
106,키움투자자산운용,키움키워드림TDF2035증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),1.73,-2.14,-0.937,5.7319,21.89,18.741,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
107,한국투자신탁운용,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(O),3.4,-1.02,0.45,5.69,25.08,-,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
108,키움투자자산운용,키움키워드림TDF2040증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),2.25,-2.24,-1.04,5.66,23.8,20.91,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
109,삼성자산운용,삼성퇴직연금코리아대표40증권자투자신탁1[채권혼합]C,2.31,2.47,5.93,5.64,11.78,11.11,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
110,KB자산운용,KB온국민평생소득TIF20증권자투자신탁(채권혼합-재간접형)C-퇴직e,0.13,1.65,0.48,5.58,5.55,9.5,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
111,키움투자자산운용,키움키워드림TDF2025증권투자신탁1[혼합-재간접형]C-P2e(퇴직연금),0.46,-1.71,-0.37,5.56,16.93,12.52,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
112,키움투자자산운용,키움퇴직연금코어밸류40증권자투자신탁1[채권혼합]ClassC,2.16,2.08,6.73,5.52,12.74,14.06,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
113,한국투자신탁운용,한국투자TDF알아서2045증권투자신탁(주식혼합-재간접형)(C-Re),3.38,-1.06,0.37,5.51,24.65,25.82,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
114,한국투자신탁운용,한국투자TDF알아서2040증권투자신탁(주식혼합-재간접형)(C-Re),3.02,-0.96,0.52,5.5,23.59,24.61,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
115,한국투자신탁운용,한국투자TDF알아서2035증권투자신탁(주식혼합-재간접형)(C-Re),2.56,-0.93,0.59,5.48,22.32,23,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
116,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류O,2.43,-2.08,0.45,5.44,22.83,-,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
117,한화자산운용,한화코리아밸류채권증권자투자신탁(채권)종류C-RPe(퇴직연금),0.34,1.26,2.3926,5.4246,11.19,14.173,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
118,삼성자산운용,삼성퇴직연금코리아중소형40증권자투자신탁1[채권혼합]Ce,2.67,3.3,9.02,5.42,15.84,16.95,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
119,미래에셋자산운용,미래에셋연금인디아업종대표증권자투자신탁1(주식)종류C-P2,-2.36,7.62,-3.56,5.4,43.43,62.57,높은위험,MSCI INDIA,3,2,MSCI INDIA,1.0,,,INDA,1.024661599,INDA,0.575842299670613,0.34939388323416426
120,KB자산운용,KB온국민평생소득TIF20증권자투자신탁(채권혼합-재간접형)C-퇴직,0.13,1.65,0.391,5.3915,5.55,8.9169,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
121,우리자산운용,우리알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)ClassPe1,3.03,-0.91,-0.79,5.38,18.74,20.26,다소높은위험,MSCI NORTH AMERICA CR 50% + 종합채권01Y 50%,4,0,MSCI NORTH AMERICA CR,0.5,종합채권01Y,0.5,NA.TO,1.72368081,NA.TO,0.7684884851537073,0.403949525194528
122,한국투자신탁운용,한국투자TDF알아서2030증권투자신탁(주식혼합-재간접형)(C-Re),2.0,-0.92,0.65,5.38,20.12,20.35,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
123,키움투자자산운용,키움키워드림TDF2050증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),2.76,-2.34,-1.28,5.36,23.85,20.12,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
124,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류C-P2e,2.42,-2.1,0.41,5.36,22.64,23.75,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
125,키움투자자산운용,키움키워드림TDF2025증권투자신탁1[혼합-재간접형]C-P2(퇴직연금),0.44,-1.76,-0.46,5.36,16.47,11.85,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
126,한화자산운용,한화코리아밸류채권증권자투자신탁(채권)종류C-RP(퇴직연금),0.33,1.24,2.35,5.34,11.02,13.9,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
127,한국투자신탁운용,한국투자TDF알아서증권투자신탁(채권혼합-재간접형)(C-Re),1.29,-0.66,0.92,5.31,15.99,14.62,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
128,한국투자신탁운용,한국투자TDF알아서2025증권투자신탁(주식혼합-재간접형)(C-Re),1.43,-0.81,0.78,5.24,17.25,16.55,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
129,마이다스에셋자산 운용,마이다스퇴직연금배당40증권자투자신탁1(채권혼합)Ce,2.6,2.98,7.5,5.17,12.33,14.56,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
130,우리자산운용,우리알리안츠인컴앤그로스증권자투자신탁[주식혼합_재간접형](H)ClassP1,3.01,-0.97,-0.9,5.14,18.2,19.44,다소높은위험,MSCI NORTH AMERICA CR 50% + 종합채권01Y 50%,4,0,MSCI NORTH AMERICA CR,0.5,종합채권01Y,0.5,NA.TO,1.72368081,NA.TO,0.7684884851537073,0.403949525194528
131,미래에셋자산운용,미래에셋전략배분TDF2035혼합자산자투자신탁종류C-P2,2.41,-2.16,0.31,5.14,22.14,22.98,다소높은위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,4,0,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
132,삼성자산운용,삼성퇴직연금코리아중소형40증권자투자신탁1[채권혼합]C,2.65,3.23,8.87,5.13,15.2,15.98,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
133,한국투자신탁운용,한국투자TDF알아서증권투자신탁(채권혼합-재간접형)C-R,1.28,-0.71,0.83,5.1,15.54,13.95,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
134,한국투자신탁운용,한국투자TDF알아서2020증권자투자신탁(채권혼합-재간접형)(C-Re),1.4,-0.81,0.73,5.09,16.39,15.31,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
135,유진자산운용,유진챔피언중단기채증권자투자신탁(채권)ClassC-Re,0.3,1.12,2.2,5.05,10.68,15.33,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
136,우리자산운용,우리하이플러스채권증권자투자신탁1(채권)ClassC-Pe,0.28,1.08,2.19,5.04,10.56,14.66,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
137,미래에셋자산운용,미래에셋전략배분TDF2030혼합자산자투자신탁종류C-P2e,1.87,-1.69,0.54,4.98,18.82,18.95,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
138,우리자산운용,우리하이플러스채권증권자투자신탁1(채권)ClassC-P,0.28,1.05,2.15,4.96,10.39,14.39,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
139,유진자산운용,유진챔피언중단기채증권자투자신탁(채권)ClassC-R,0.29,1.09,2.15,4.93,10.43,14.94,낮은위험,종합채권02Y 90%,1,3,종합채권02Y,0.9,,,BND,0.0,BND,0.3139795481605541,0.1375602946852256
140,마이다스에셋자산 운용,마이다스퇴직연금배당40증권자투자신탁1(채권혼합)C,2.58,2.91,7.36,4.89,11.73,13.64,보통위험,KOSPI200 25% + 종합채권 01Y 75%,2,1,KOSPI200,0.25,종합채권 01Y,0.75,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
141,신한자산운용,신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-re),0.95,-0.83,-0.07,4.84,16.2,15.54,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
142,미래에셋자산운용,미래에셋전략배분TDF2030혼합자산자투자신탁종류C-P2,1.86,-1.75,0.44,4.76,18.33,18.21,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
143,신한자산운용,신한마음편한TDF2025증권투자신탁[주식혼합-재간접형](종류C-r),0.94,-0.88,-0.16,4.63,15.76,14.87,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
144,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류O,1.54,-1.32,0.68,4.6,16.21,-,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
145,IBK자산운용,IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류C-Re,4.67,1.33,2.05,4.52,22.79,8.05,다소높은위험,"MSCI ACWI CR 50% +
Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50%",4,0,MSCI ACWI CR,0.5,Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,ACWI,0.879995654,ACWI,0.6018306847094427,0.3612742584138948
146,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2e,1.53,-1.34,0.64,4.51,16.03,15.72,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
147,NH-Amundi자산 운용,NH-Amundi글로벌혁신기업증권자투자신탁(H)[주식]ClassC-P2e(퇴직연금),6.47,-3.86,-4.64,4.42,33.03,27.2,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,,IXN,0.879995654,IXN,0.9959513889268186,0.5610235064815379
148,삼성자산운용,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_Cpe(퇴직연금),-0.26,-0.24,1.12,4.39,7.76,4.77,낮은위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,1,3,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
149,키움투자자산운용,키움더드림단기채증권투자신탁[채권]C-P2e(퇴직연금),0.32,1.0,2.02,4.36,9.5,14.15,매우낮은위험,KAP CD 6개월  90%,0,5,KAP CD 6개월,0.9,,,KBE,0.0,KBE,0.12600525192293327,0.6375325737739598
150,미래에셋자산운용,미래에셋전략배분TDF2025혼합자산자투자신탁종류C-P2,1.52,-1.39,0.54,4.3,15.57,15.03,보통위험,MSCI ACWI CR 50% + 종합채 권01Y 50%,2,1,MSCI ACWI CR,0.5,종합채 권01Y,0.5,KXI,0.879995654,KXI,0.5093103041281509,0.2699287193145678
151,한국투자신탁운용,한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-Re),3.16,-6.06,-1.55,4.29,-8.22,-8.5,높은위험,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl 90% + CALL 10%,3,2,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl,0.9,,,IDRV,0.0,IDRV,-0.04897787038627259,0.6093894080512586
152,키움투자자산운용,키움더드림단기채증권투자신탁[채권]C-P2(퇴직연금),0.31,0.97,1.97,4.25,9.26,13.77,매우낮은위험,KAP CD 6개월  90%,0,5,KAP CD 6개월,0.9,,,KBE,0.0,KBE,0.12600525192293327,0.6375325737739598
153,미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2e,1.09,-0.85,0.81,4.22,12.38,9.03,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
154,IBK자산운용,IBK플레인바닐라EMP증권투자신탁[혼합-재간접형]종류C-R,4.65,1.25,1.89,4.2,22.06,7.07,다소높은위험,"MSCI ACWI CR 50% +
Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50%",4,0,MSCI ACWI CR,0.5,Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,ACWI,0.879995654,ACWI,0.6018306847094427,0.3612742584138948
155,삼성자산운용,삼성평생소득TIF20증권자투자신탁H[채권혼합-재간접형]_Cp(퇴직연금),-0.28,-0.28,1.02,4.19,7.35,4.18,낮은위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,1,3,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
156,마이다스에셋자산 운용,마이다스단기국공채공모주증권투자신탁1(채권혼합)C-Pe2,0.28,1.2,1.92,4.09,9.85,11.77,낮은위험,KOSPI200 10% + 종합채권 01Y 90%,1,3,KOSPI200,0.1,종합채권 01Y,0.9,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
157,우리자산운용,우리PIMCO글로벌투자등급자투자신탁[채권_재간접형](H)ClassPe1,-0.83,-1.13,0.19,4.04,8.15,3.66,보통위험,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),2,1,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),1.0,,,AGGG,-0.045028637,AGGG,121.83567946069415,95.17081241789569
158,미래에셋자산운용,미래에셋평생소득TIF혼합자산자투자신탁종류C-P2,1.08,-0.9,0.72,4.03,11.97,8.41,보통위험,MSCI ACWI CR 25% + 종합채 권01Y 75%,2,1,MSCI ACWI CR,0.25,종합채 권01Y,0.75,BND,0.879995654,BND,0.3139795481605541,0.1375602946852256
159,NH-Amundi자산 운용,NH-Amundi글로벌혁신기업증권자투자신탁(H)[주식]ClassC-P2(퇴직연금),6.44,-3.97,-4.83,4.0,31.97,25.67,높은위험,MSCI ACWI Information Technology,3,2,MSCI ACWI Information Technology,1.0,,,IXN,0.879995654,IXN,0.9959513889268186,0.5610235064815379
160,마이다스에셋자산 운용,마이다스단기국공채공모주증권투자신탁1(채권혼합)C-P2,0.27,1.16,1.83,3.91,9.47,11.19,낮은위험,KOSPI200 10% + 종합채권 01Y 90%,1,3,KOSPI200,0.1,종합채권 01Y,0.9,BND,0.472632509,BND,0.3139795481605541,0.1375602946852256
161,우리자산운용,우리PIMCO글로벌투자등급자투자신탁[채권_재간접형](H)ClassP1,-0.84,-1.17,0.12,3.88,7.83,3.2,보통위험,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),2,1,Bloomberg Barclays Global Aggregate Ex-Korea(USD Hedged),1.0,,,AGGG,-0.045028637,AGGG,121.83567946069415,95.17081241789569
162,한국투자신탁운용,한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-R),3.12,-6.17,-1.78,3.82,-9.07,-9.77,높은위험,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl 90% + CALL 10%,3,2,NYSE FactSet Gbl Atnms Drvng and Elec Vhcl,0.9,,,IDRV,0.0,IDRV,-0.04897787038627259,0.6093894080512586
163,미래에셋자산운용,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1(채권)종류C-P2e,-0.32,-0.23,0.68,3.66,7.3,5.92,낮은위험,"JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50% + JACI Sovereign 50%",1,3,JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,JACI Sovereign,0.5,AGG,-0.045028637,AGG,0.3128909726528011,0.13908217115578375
164,미래에셋자산운용,미래에셋퇴직플랜글로벌다이나믹증권자투자신탁1(채권)종류C,-0.34,-0.26,0.61,3.5,6.98,5.45,낮은위험,"JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED)
50% + JACI Sovereign 50%",1,3,JP Morgan Bloomberg Barclays GLOBAL AGGREGATE(KRW HEDGED),0.5,JACI Sovereign,0.5,AGG,-0.045028637,AGG,0.3128909726528011,0.13908217115578375
165,베어링자산운용,베어링고배당증권자투자신탁(주식)ClassC-P2e,6.78,7.16,9.7,3.23,19.09,18.71,높은위험,코스피 고배당 50,3,2,코스피 고배당 50,1.0,,,KBWD,0.0,KBWD,0.5251148593465222,0.44261122961376176
166,미래에셋자산운용,미래에셋개인전용MMF1(국공채)종류C-P2e,0.22,0.67,1.4,3.09,6.7,9.7,매우낮은위험,CALL,0,5,,,,,SHY,0.0,SHY,0.15366723347391997,0.04606209342066358
167,미래에셋자산운용,미래에셋개인전용MMF1(국공채)종류C-P2,0.21,0.65,1.35,2.99,6.49,9.37,매우낮은위험,CALL,0,5,,,,,SHY,0.0,SHY,0.15366723347391997,0.04606209342066358
