순번,제목,내용,사용자_정보,카페명,작성일,링크
162,조언얻고싶습니다 IRP 계좌상품입니다,"안녕하세요 일전에 많은 조언 얻엇습니다 다름이아니라 개인연금저축계좌 50만원 IRP 25만원 나머지 저축액 ISA 계좌로 가져갈려고하는데 개인연금저축계좌는 미래 S&P500 전량 구매하고잇는데 IRP 도 동일하게 25만원 구매하려햇더니 투자상품 비율이 70퍼가 넘어가면안됀다고 하더라구요 그래서 미래에셋 로보 어드바이저 로 조언받앗더니 미래,삼성,한국 같은 퇴직펀드 상품을 알려주더라구요 이와같은...","배당 투자자 모임
2025.04.03.",카페명 없음,날짜 없음,https://cafe.naver.com/divclub/24131?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRpdmNsdWIiLCJhcnRpY2xlSWQiOjI0MTMxLCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.6b21U7k9rO3kfAfj9avec7wy7lyVS51lgGrRuy1vWSM
163,너무 어려운 ISA와 IRP,"전 현 58세로 퇴직금중간정산해서 퇴직금 IRP가 아닌 개인통장으로 받아서 각 은행에 분산하여 정기예금으로 운용중이 하나가 잇고 은행에 개인형IRP에 2천(디폴트옵션으로 정기예금으로 운용중). 동일은행 ISA에 2천(이또한 정기예금으로 운영중) 즉, 아직 회사는 다니지만 회사가 지정한 (DB,DC형)는 없는 상태이고 뭘 어떻게 투자를 변경해야 하는지에 대한 지식은 없는 상황입니다 궁금증) 제 현재...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.11.11.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/225974?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjI1OTc0LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.Z191GEuAFl69okn4yZN6Gg_bEnMH8GdD6y5Ih_9pw_o
164,연저/IRP 첫 매수,이놈은 연금저축 첫 매수~ 이놈은 IRP 첫 매수~ IRP는 메뉴도 따로 빠져있고 관리하기 킹받긴 하네-_-; 무럭무럭 자라렴 ~ ㅎ,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2024.12.30.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/498152?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5ODE1MiwiaXNzdWVkQXQiOjE3NTA3MjgyNDE2MzF9._cZ0Os6ol5oJqB8Pi5hYFXCBc7JTQClRaYG0GYBL73s
165,irp의 세제혜택 나이가 정해져 있나요??,irp에서는 만 55세 이후부터 연금수령이 가능하다고 알고 있습니다. 이와 별개로 연금을 수령하지 않고 계속 irp에 납입한다면 세제혜택을 연령과 상관없이 무한정으로 받을 수 있나요? 예를 들어 60세 은퇴 이후에도 irp에 있는 돈을 연금으로 수령하지 않고 계속 납입하게 되면 세제혜택을 받을 수 있을까요? 그 연령 한계가 궁금합니다,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.04.09.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/264897?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjY0ODk3LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.D5z44nT5C7ssAiXYeIrnANEAC-XFn4BDkIObNDXUHMA
166,IRP 추가 개설이 필요할까요?,"삼성증권에 IRP계좌에서 5년차 운용 중. (본인부담금 100%/세액공제) B. 시중은행에서 IRP계좌 10년이상 보유 중. (본인부담금 100%/세액공제) C. 회사에서 퇴직연금DC 최초가입하였습니다 (2024.12월) D. 제가 52세입니다. (이후 3년이상 근속예정으로 55세 이후 퇴직가정) 보유한 증권과 은행의 계좌에 회사부담의 퇴직금은 없습니다 55세 이후 계좌를 10년동안 최소 1만원으로 연금수령할 경우, 향후 연금이...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.12.26.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/237417?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjM3NDE3LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.o2r55OIJ2dnJ9iPBT5Mof7zsQwLMIiuCctUHhXS1bgQ
167,IRP 어떻게 활용하시나요?,"지금은 사정상 일 쉬고있고 최근 5년 정도 다닌 회사 퇴직하면서 IRP 계좌에 퇴직금이 꽂혔어요~ 부끄럽지만..그간 잘잘하게 이직을 많이 했어서 퇴직금을 받은게 3번째이고, 그나마 앞에 2번은 큰돈이 아니라 받자마자 다 해지해서 썼거든요. 보통 이렇게 퇴직금 받으시면 그냥 냅두는지 or 해지(but..지금 돈이 급하진 않음) or 노후에 쓸수있게 똘똘하게 다른 방법으로 굴리시는지? 이게 궁금합니다~ 가만두면...","월급쟁이 재테크 연구카페(예금,적금,펀드,보험,CMA,주식,경매)
대표
2025.04.23.",카페명 없음,날짜 없음,https://cafe.naver.com/onepieceholicplus/5474751?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im9uZXBpZWNlaG9saWNwbHVzIiwiYXJ0aWNsZUlkIjo1NDc0NzUxLCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.aKAC_xr6qiSD-LfK7_KzVenURSibqz5UkCmgf-3c7jo
168,연금저축보험을 irp로 이전이 가능한가요?,만 54세로 연금저축보험을 20년 정도전부터 불입하여 5년전 완납상태입니다. 이 연금저축보험을 irp로 이전하고싶은데요. 1. 제가 현재 무직 상태라 irp 계좌 개설이 가능하지 않은상태입니다. 2. 증권사에 신규 irp를 이전용으로 신청하여 연금저축보험을 이전하는게 가능한지요? 아니면 를 무직상태라 못만들기 때문에 연금저축펀드를 만들어 옮기는것만 가능한지요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.02.15.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/249859?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjQ5ODU5LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.Ugu1GAHwKpMekLESHrLs_iCbjTcCB93KMCZVg8Z6R6I
169,개인형 irp 상품운용 문의,"안녕하세요 현재 연금저축펀드와 개인형 IRP 모두 보유중입니다 연금저축펀드 9백만원 코덱스 미국 나스닥100에350만원 코덱스 CD금리액티브에 350만원 타이거 미국테크탑10채권혼합 50만원 코댁스 미국배당다우존스 150만원 운용중이고, 개인형 IRP에 13백만원있고 3백만원은 정기예금으로 운용중인데 나머지 1천만원은 어떤 ETF 들로 운용하면 좋을까요? 감사합니다 ^^","[머니트렌드] IFA 재무설계/자산관리/재테크/보험리모델링상담
3주 전",카페명 없음,날짜 없음,https://cafe.naver.com/bisml/37696?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJpc21sIiwiYXJ0aWNsZUlkIjozNzY5NiwiaXNzdWVkQXQiOjE3NTA3MjgyNDE2MzF9.NBmZWNcmLwyNm1IFK3jKcojBwasrBca9RDsHRmbfz7Q
170,IRP계좌 연금저축계좌로 이전,퇴직금 DB형 정산을 해야해서 IRP계좌를 만들어야하는데 회사에서 거래하는 증권사에 이미 기존에 IRP계좌가 있거든요 그럼 같은 증권사에는 또 IRP계좌를 못 만들지요? 해서 IRP계좌를 연금저축계좌 만들어서 이전하고 새로 IRP를 만들수 있나요? 아님 다른 방법이 있나요? 기존계좌는 세액공제용이라 퇴직금하고 합하고 싶지가 않아서요,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2024.12.26.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/237355?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjM3MzU1LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.PxFHLq-Cjte-FYVp3GvAURxiO9xCI3suQE0KxsoyGsM
171,"150으로 연저펀, IRP, ISA 어떻게 하나요?","IRP가 더 좋다는 얘기는 들었지만 그냥 ISA 계좌만 하려했는데 노후를 위해 연저펀, IRP를 꼭 하라는 얘기가 많더라구요.. 연저펀은 300, irp는 900을 넣고 어쩌고 하던데 저 같이 월에 150정도 밖에 못 넣는 사람도 저걸 다 채워야하나요? 채우면 ISA에는 얼마 못 넣고 연금 쪽에만 치중하게 되는데 연금 쪽에 비중을 많이 두면 묶이는 돈이 많은거 아닌가요 ? 아무리도 기본 지식이 없으니...","미국 주식이 미래다
2025.01.07.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1151942?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTUxOTQyLCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.5a5hSFC0lKyg93LrO0cMrNJAulOyqGVpnh-Mfkv2QEE
172,퇴직금을 기존 IRP 계좌로 수령했는데 너무 걱정이에요 ㅜ,상황 - 2024년 개인 IRP 계좌 개설 현재까지 1년만 운용하여 금년도 연말정산 혜택 대상. - 계좌 내에서 주식 (A)을 직접 매수 및 운용 중 - 전직장에선 DC형 계좌로 직접 주식들 (B)를 운용중이었음 - 2024년 11월 퇴사로 위 IRP계좌로 퇴직 수령 (A+B) - 올해 4월 이사로 퇴직금 인출 필요한 상황 2. 제가 오해한 부분 - 퇴직금을 인출하더라도 B에대해서만 퇴직소득세 내면 되는 걸로 오해함 - 확인 한 바로는 기존...,"미국 주식이 미래다
2025.01.25.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1161314?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTYxMzE0LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.Coq9QbqnKu1AAyMES81uMpFUvTVT2pQ4UJv-sJooCOQ
173,연금과 irp 고견부탁드려요,"현재 연금 600 + irp 300을 넣고, isa 2000을 채우고 있습니다. (총 2900만원) 1. 현재 방법과 연금 1800을 넣고, isa계좌에 1100만원을 넣는게 더 좋을까요? 2. 1800만원이 좋다면, 연금 얼마 irp 얼마를 나눠서 넣어야 좋을까요? 3. 연금계좌에서 얻는 매매실현과 배당수익을 얻어도 당장 세금을 내지 않고, 연금 개시때 세금 지불이 맞죠? 4. 연금계좌에서 1800만원을 넣고, 매매실현과 배당수익이나서...","은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.03.05.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/255112?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjU1MTEyLCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.KxZb6FL6fMaVGTfMJiTeKjeyNXm7nVFTYgY4TchcAvw
174,연금계좌(IRP) etf 선택 조언 부탁드립니다,"글 많이 올라오는 IRP 안전자산 선택 문의입니다. 1) KODEX TDF2050액티브 (국내채권 중심으로 안전자산이라는 개념에 충실한 것 같습니다.) 2) RISE 테슬라미국채타겟커버드콜혼합(합성) (RISE 훑어보다가... 절세계좌는 약 3년간 무지성 거치식 구매 IRP: ACE 미국30년국채액티브(H) + 적금예금(연간5.05%, 올해 만기) 연저펀: KODEX 미국S&P500 + TIGER 글로벌비만치료 수익이 높진 않습니다. 시작 당시는 몰랐는데...","미국 주식이 미래다
2025.02.22.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1177884?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTc3ODg0LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMX0.9rz5kMlC2NpnommWiuDqEZ-Oato4VKt6JXy6viADTe8
175,미주미 여러분 퇴사하고 IRP 어떻게 운영하시나요???,"퇴사하셨던 선배님들 어떻게 하고 계신지 문의드립니다 현재 상황 연저펀 2,100만원 개인IRP 330만원 + 이번에 퇴직연금 IRP 2,000만원 입금 기존 연금들은 미국 ETF 위주로 운영하고 있는데요 퇴직연금 IRP 마저 ETF로 돌리는게 맞을까요?? 근데 제가 결혼 예정에 있어서 세금을 왕창 내고 해지를 할지,,,, 아니면 엄청 큰 돈은 아니니까 킵하고 ETF에 넣을지,,,, 혹은 다른 방법이 있는지 고견을 여쭙습니다!!!","미국 주식이 미래다
2025.03.02.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1183875?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTgzODc1LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMn0.GJ-jaNcgIXgBBHt7IpajIORBwk_lrxTDw7KChqxba00
176,30대 초반 isa irp 연저펀 고민***도와주세요***,"어느정도 개념은 이제 익혀서 연저펀 600/IRP300 채운 후 남은 금액으로 ISA 해야하는 우선 순위 숙지 했습니다! 다만 고민되는 것은, 저는 내년 상반기에 결혼과 임신 계획이 있고 집도 아직 신혼집을 구하는중이라 월세로 하면 괜찮겠지만 전세로 하게 될 경우에는 큰 몫돈이 나갈 예정이라 연저펀+ 900만원 채우기가 부담스럽더라구요 현재 상황 : 1. 매달 아버지께 50만원(현재 살고있는 전세집 원금...","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.01.21.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/500672?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUwMDY3MiwiaXNzdWVkQXQiOjE3NTA3MjgyNDE2MzJ9.X4w8-VVNCyaNRf0R0phqYtKqpkbiFHIOFWUyZD5lxGg
177,"퇴직금 운영 관련.. (feat IRP, ISA, 연금저축)","제가 1억정도 퇴직금을 IRP로 받았는데요, 디폴트 옵션으로인해 해당 금액 전부 7:3 비율로 아래 종목에 투자했습니다. - Tiger 미국테크 TOP10 INDXX(70%) - Tiger 테슬라채퀀혼합FN(30%) 연금저축 + IRP 소득공제가 900만원 되는걸로 알고 있는데요, 그럼 900만원만 IRP에 투자하고 ISA는 제가 한도가 4천만원이거든요, 그래서 퇴직금 4천만원은 에서 빼서 ISA에 넣을까요? 아니면 계좌에서 ISA 계좌로...","미국 주식이 미래다
2025.02.26.",카페명 없음,날짜 없음,https://cafe.naver.com/likeusstock/1180617?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imxpa2V1c3N0b2NrIiwiYXJ0aWNsZUlkIjoxMTgwNjE3LCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMn0.0Gh19fj6yBMYo7dcAOu_ucuODeDfp3FXLIxk8BuhauY
178,"IRP 세액공제, 얼마나 돌려받을 수 있나요?","최근 직장인들 사이에서 가장 많이 언급되는 재테크 키워드 중 하나가 바로 IRP 세액공제예요. 세금 환급도 받고, 노후 준비까지 동시에 할 수 있다는 점에서 매년 연말정산 시즌만 되면 가입자가 크게 늘고 있죠. 그렇다면 IRP 세액공제로 실제 얼마나 돌려받을 수 있을까요? 지금부터 핵심만 쏙쏙 정리해드릴게요! 란? (Individual Retirement Pension)는 개인형 퇴직연금으로, 누구나 가입 가능한 장기...","온라인보험 비교카페 - 종합,어린이,건강,치아,펫,운전자,암
4일 전",카페명 없음,날짜 없음,https://cafe.naver.com/zpvkdcom/369?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InpwdmtkY29tIiwiYXJ0aWNsZUlkIjozNjksImlzc3VlZEF0IjoxNzUwNzI4MjQxNjMyfQ.ndVTmpAzD4vB4kPQvRBbH11NzOYjusWH3xxoO5V_WL0
179,IRP 와 ISA,오늘 은퇴공부중에 퇴직전에 IRP 와 ISA 가입해노라는데 특별한 이유가 있을까요?,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
4주 전",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/277412?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6Mjc3NDEyLCJpc3N1ZWRBdCI6MTc1MDcyODI0MTYzMn0.M7F9ezsDg7cPg0HYIKeBOzUiBDc2CoYVU2A0vq_zroA
180,10년이상 장기로 투자할수 있는 국내상장 미국채 ETF추천부탁드립니다(=IRP용),미리 감사드립니다 노후대비 IRP계좌에 담을 10년이상 장기로 투자할 국내상장 미국채ETF 추천부탁드립니다 채권은 참 어렵네요ㅜㅜ,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.05.17.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/517191?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUxNzE5MSwiaXNzdWVkQXQiOjE3NTA3MjgyNDE2MzJ9.X-DJs6XrJfPjOWTjyR9nk1UZwyXj6UCDghnjkLIZn44
181,벌금미납으로 IRP계좌압류되나요,벌금미납으로 통장 압류중인데요.. irp계좌에 퇴직금연금있는거도 압류될까요? 일반적으로 압류는 안되나 상황에따라 압류될수있다해서요ㅜㅜ 채무관계가아니라 벌금 미납이라 압류가능할까요ㅜㅜ,"신용회복위원회 공식카페
2025.05.13.",카페명 없음,날짜 없음,https://cafe.naver.com/ccrs5500/629615?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImNjcnM1NTAwIiwiYXJ0aWNsZUlkIjo2Mjk2MTUsImlzc3VlZEF0IjoxNzUwNzI4MjQ4MjIwfQ.wgDwsxyTeCJ_Ae47btJ8eKJAheN2RnR_52jj-LMIToY
182,IRP 개설 시기,안녕하세요. '근로자퇴직급여 보장법' 제9조2항에 따라 퇴직금을 개인IRP로 이전할 경우 IRP 개설 시기가 따로 있을까요??? 그냥 퇴직금 지급할 시기 전에만 편하게 개설하시면 되나요??,"예산회계실무
대표
2025.04.22.",카페명 없음,날짜 없음,https://cafe.naver.com/gangseogu/439856?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImdhbmdzZW9ndSIsImFydGljbGVJZCI6NDM5ODU2LCJpc3N1ZWRBdCI6MTc1MDcyODI0ODIyMH0.VdkUtWFj3DPUuSn21-rzuJ8BHEDD1Qun6mmT0NQKngk
183,"자영업자인데 연금저축펀드, IRP 세액공제 질문","안녕하세요 제가 자영업자인데 연금저축펀드, IRP 세액공제 질문좀 드리겠습니다. 일반직장인이라면 고민안하고 가입했겠지만.. 저처럼 자영업자인데 연금저축펀드, IRP 세액공제 혜택을 받는다면 어떤 항목에서의 세액공제인건지 궁금해서요 소득세,부가세, 종합소득세 어디서 받는건가요? 저처럼 자영업자도 연금저축펀드, 세액공제 혜택이 도움이되면 이번기회에 가입하려고해서요 처음이다보니...","[머니트렌드] IFA 재무설계/자산관리/재테크/보험리모델링상담
1주 전",카페명 없음,날짜 없음,https://cafe.naver.com/bisml/37906?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJpc21sIiwiYXJ0aWNsZUlkIjozNzkwNiwiaXNzdWVkQXQiOjE3NTA3MjgyNDgyMjB9.-VLN-dP0m8xoXZZLA2QVoss8LMusiDvo-saO_Xsf0-8
184,퇴직연금과 irp,최근에 무작정 연말정산과 연금 수령 목적으로 연금저축펀드에 600만원 irp에 300만원 넣고 코덱스미국 s&p 500tr 이라는 상품을 모두 샀더니 irp는 자동적으로 70%정도 해서 210만원 정도 매수 된거 같은데 증권사에서 위험자산이 위험 한도를 초과 되었다고 톡이 오는데 제가 산게 문제가 있는 걸까요? 이것 저것 신경쓰는것도 머리 아픈것 같고 이곳 까페에서 보니 s&p500tr 이 종목이 오르고 내리고 편차가...,"은퇴 후 50년 [시니어·실버·노후·귀농·모임]
대표
2025.01.03.",카페명 없음,날짜 없음,https://cafe.naver.com/dlxogns01/239242?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImRseG9nbnMwMSIsImFydGljbGVJZCI6MjM5MjQyLCJpc3N1ZWRBdCI6MTc1MDcyODI0ODIyMH0.kefbvYWa7E2dSOz7HMkLK7txh1nA-5tp0NLQ89ip1Js
185,안녕하세요 연저펀/IRP/ISA를 해보려고 합니다.,늦었지만 이제라도 앞날을위해 조금씩 준비해보려고 하는데 현재 제가 매달 50만원정도까지만 여유자금이 없는데 연저펀/IRP/ISA를 나눠서 해야할지 아니면 우선순위를 둬서 해야할지 확신이 서질않아서요... 연저펀/IRP/ISA 전부 찾아봤을때 목돈이필요할땐 ISA뿐이 없어보이더라구요 납입순서를 찾아보니 연저펀 > > ISA이고.... 매달 50만원씩 할경우 비중이나 어떤걸 우선수위를 두고 해야할지...,"한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.01.15.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/499834?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjQ5OTgzNCwiaXNzdWVkQXQiOjE3NTA3MjgyNDgyMjB9.cfZ67JOWwEEnpgqXgrS2qTVx0vUYqzhJyAdfvSYwin8
186,IRP 게으름주의 포트완성,"귀찮음의 극치 IRP 포트, 어제 월마트 실적을 보고 오늘 TLTW 추종 국내상장 ETF 추가해서 완성했습니다. 3년간 900만원 납입해서 시세차익 140만원 세액공제 약 100만원 받았으니 믿지는 장사는 아닌듯 합니다.","한국/미국주식 : 장기투자를 지향하는 대표 주식카페
2025.02.21.",카페명 없음,날짜 없음,https://cafe.naver.com/pointns/505321?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InBvaW50bnMiLCJhcnRpY2xlSWQiOjUwNTMyMSwiaXNzdWVkQXQiOjE3NTA3MjgyNDgyMjB9.5CK88DLC8FuNB-qtxoQc0djdIk2YPQ3cxv5tPH2daRc
